COMID,date,Observed_Sediment_Flux,reservoir_capacity,relief,cropland_pct,forest_pct,shrubland_pct,grassland_pct,tundra_pct,wetland_pct,impervious_pct,bare_areas_pct,water_body_pct,perm_snow_ice_pct,longest_paths,Maximum_Temperature,Minimum_Temperature,Mean_Temperature,modelled_discharge,precipitation,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,Population,uparea,gdp_ud_usu,snowfall,sum_evaporation,sum_mean_surface_downward_long_wave_radiation,sum_mean_surface_downward_short_wave_radiation,sum_precipitation,sum_snowfall,sum_runoff,pre_mm_cyr,pre_mm_uyr,pet_mm_cyr,pet_mm_uyr,aet_mm_cyr,aet_mm_uyr,run_mm_cyr,ari_ix_cav,ari_ix_uav,ele_mt_cav,ele_mt_uav,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,rev_mc_usu,dor_pc_pva,lit_cl_cmj,ero_kh_cav,ero_kh_uav,ppd_pk_cav,ppd_pk_uav,urb_pc_use,evaporation,mean_surface_downward_long_wave_radiation,mean_surface_downward_short_wave_radiation
74068275,1/1/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,273.6687,273.18958,273.45163,1059.5146,0.000339381,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0.000212343,-2.844934149,42451918.31,7182351.66,49.90490058,31.22440243,3.194183304,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-1.93E-05,288.69623,48.843914
74068275,1/2/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,274.08136,273.51837,274.5666,1031.9966,0.000129252,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,8.29E-05,-4.520172245,39085650.44,19650608.48,19.00615582,12.19121054,2.979608332,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.07E-05,265.80377,133.63487
74068275,1/3/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,272.5566,271.80487,271.85092,1024.1882,2.15E-08,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,2.67E-08,-2.66800483,33794773.92,19687795.19,0.003165025,0.003930654,2.696364317,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-1.81E-05,229.82292,133.88776
74068275,1/4/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,273.80777,273.1961,272.62048,1032.0315,5.58E-07,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,3.28E-07,-2.207167726,34705918.39,19823656.34,0.081995929,0.048266635,2.655298939,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-1.50E-05,236.0192,134.81169
74068275,1/5/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,274.4559,273.71182,274.42877,1038.1912,4.92E-07,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,1.32E-07,-1.781427949,38297703.43,16285859.61,0.072308648,0.019441838,2.583179584,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-1.21E-05,260.4453,110.75274
74068275,1/6/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,276.9275,276.08948,276.41708,1025.0496,7.92E-08,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,5.35E-09,-3.10770922,37697872.2,19605662.09,0.011647806,0.000786451,2.534333213,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.11E-05,256.36612,133.32921
74068275,1/7/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,278.70398,277.91992,278.69635,991.36444,5.11E-06,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-1.571708911,42426715.92,12883505.82,0.751424427,0,2.451145483,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-1.07E-05,288.52484,87.614876
74068275,1/8/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,280.77155,280.2954,280.9301,948.1721,5.97E-05,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-3.29909723,46516293.34,13591608.36,8.779703659,0,2.645531635,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.24E-05,316.3362,92.43036
74068275,1/9/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,281.5821,281.0093,280.87122,906.0585,2.74E-06,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-5.376480527,41525155.98,17435129.8,0.402278572,0,2.314965979,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.66E-05,282.39374,118.568405
74068275,1/10/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,280.2425,279.31323,279.36813,871.24524,3.70E-07,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,2.51E-10,-7.056608672,36868510.87,21624205.84,0.054446121,3.68E-05,2.256566993,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-4.80E-05,250.72601,147.05641
